threshold,accuracy,precision,recall,f1,roc_auc,confusion_matrix,model
0.5,0.7467532467532467,0.6595744680851063,0.5740740740740741,0.6138613861386139,0.816111111111111,"[[84, 16], [23, 31]]",RF_baseline
0.5,0.7402597402597403,0.5972222222222222,0.7962962962962963,0.6825396825396826,0.8194444444444444,"[[71, 29], [11, 43]]",RF_tuned
0.45,0.7467532467532467,0.6470588235294118,0.6111111111111112,0.6285714285714286,0.816111111111111,"[[82, 18], [21, 33]]",RF_baseline
0.45,0.7402597402597403,0.5945945945945946,0.8148148148148148,0.6875,0.8194444444444444,"[[70, 30], [10, 44]]",RF_tuned
0.4,0.7337662337662337,0.6140350877192983,0.6481481481481481,0.6306306306306306,0.816111111111111,"[[78, 22], [19, 35]]",RF_baseline
0.4,0.7272727272727273,0.5789473684210527,0.8148148148148148,0.676923076923077,0.8194444444444444,"[[68, 32], [10, 44]]",RF_tuned
0.35,0.7532467532467533,0.625,0.7407407407407407,0.6779661016949152,0.816111111111111,"[[76, 24], [14, 40]]",RF_baseline
0.35,0.6948051948051948,0.5421686746987951,0.8333333333333334,0.656934306569343,0.8194444444444444,"[[62, 38], [9, 45]]",RF_tuned
0.3,0.7597402597402597,0.6197183098591549,0.8148148148148148,0.704,0.816111111111111,"[[73, 27], [10, 44]]",RF_baseline
0.3,0.6818181818181818,0.5287356321839081,0.8518518518518519,0.6524822695035462,0.8194444444444444,"[[59, 41], [8, 46]]",RF_tuned
